,AAPL,MSFT,NVDA,TSLA,AMZN,META,GOOGL
2018-01-02,102223600,22483800,355616000,65283000,53890000,18151900,31766000
2018-01-03,118071600,26061400,914704000,67822500,62176000,16886600,31318000
2018-01-04,89738400,21912000,583268000,149194500,60442000,13880900,26052000
2018-01-05,94640000,23407100,580124000,68868000,70894000,13574500,30250000
2018-01-08,82271200,22113000,881216000,147891000,85590000,17994700,24644000
2018-01-09,86336000,19484300,497000000,107199000,73226000,12393100,26808000
2018-01-10,95839600,18652200,582664000,64648500,53720000,10529900,20734000
2018-01-11,74670800,17808900,406032000,99682500,62500000,9588600,22424000
2018-01-12,101672400,24271500,359916000,72376500,108874000,77551300,38586000
2018-01-16,118263600,36599700,702348000,97114500,144414000,36183800,36462000
2018-01-17,137547200,25621200,538408000,106552500,105076000,27992400,27830000
2018-01-18,124773600,24159700,408632000,85287000,80538000,23304900,27498000
2018-01-19,129700400,36875000,609380000,73324500,91570000,26826500,30552000
2018-01-22,108434400,23601600,550944000,93156000,82802000,21059500,29550000
2018-01-23,130756400,23412800,475228000,81981000,103386000,25678800,39138000
2018-01-24,204420400,33277500,579972000,79312500,136150000,24334500,37128000
2018-01-25,166116000,26383200,409884000,101104500,95060000,17377700,29984000
2018-01-26,156572000,29172200,516356000,68091000,97146000,17759200,42170000
2018-01-29,202561600,31569900,455116000,71206500,114038000,20453200,31494000
2018-01-30,184192800,38635100,570832000,70765500,117438000,20858600,37338000
2018-01-31,129915600,48756300,478576000,93211500,128494000,43275100,36022000
2018-02-01,188923200,47227900,519224000,62965500,182276000,54211300,73514000
2018-02-02,346375200,47867800,718464000,55572000,222514000,26677500,117842000
2018-02-05,290954000,51031500,1165204000,66961500,229900000,33128200,83550000
2018-02-06,272975200,67998600,1114800000,76326000,221336000,37758500,76630000
2018-02-07,206434400,41107600,802932000,104538000,143254000,27601900,51942000
2018-02-08,217562000,55628700,1144000000,154719000,171572000,38478300,66792000
2018-02-09,282690400,63499100,1674604000,194005500,282830000,39887600,98360000
2018-02-12,243278000,35720300,1093172000,93417000,134778000,32092100,56240000
2018-02-13,130196800,26407700,625524000,68403000,118358000,21809400,31586000
2018-02-14,162579600,34960900,744988000,59260500,119184000,28929700,41304000
2018-02-15,204588800,27823900,698900000,88693500,113054000,20922100,37396000
2018-02-16,160704400,30596900,637656000,84639000,89452000,20645300,39948000
2018-02-20,135722000,30911700,686240000,60141000,129984000,21204900,33754000
2018-02-21,149886400,26922500,892292000,48294000,126088000,23200800,41486000
2018-02-22,123967600,24392800,534364000,104547000,97162000,18464200,28010000
2018-02-23,135249600,26329200,415300000,87261000,88362000,19007300,25292000
2018-02-26,152648800,30199800,469312000,65100000,99100000,17599700,30912000
2018-02-27,155712400,25869100,455436000,71961000,96176000,15849800,42964000
2018-02-28,151128400,31167300,523116000,91045500,90300000,18783000,49292000
2018-03-01,195208000,37135600,1040120000,103284000,136704000,23201600,55338000
2018-03-02,153816000,32830400,913428000,76392000,131752000,20025900,50162000
2018-03-05,113605600,23901600,620776000,57357000,104678000,16189300,28648000
2018-03-06,95154000,22175800,636808000,64285500,91234000,15086800,23382000
2018-03-07,126814000,26716100,581208000,75109500,83482000,19097300,30748000
2018-03-08,95096400,25887800,411912000,53493000,77252000,17225900,33862000
2018-03-09,128740800,36937300,505524000,82602000,90686000,18526300,42662000
2018-03-12,128828400,26073700,605060000,123960000,103484000,15301200,44306000
2018-03-13,126774000,35387800,619772000,89487000,130638000,18067500,43140000
2018-03-14,117473600,32132000,505496000,119511000,85188000,16821700,41870000
2018-03-15,90975200,27611000,401952000,98472000,81394000,15614300,33382000
